0.8000,0.8116,0.8126,0.4482
0.0000,0.9181,1.7178,0.4588
0.4000,1.5469,0.6857,0.3230
0.0000,1.2583,1.7986,0.5366
0.6000,0.9066,0.6397,0.1059
0.8000,1.0115,1.6418,0.0525
0.0000,1.0897,0.6958,0.0044
0.6000,0.8221,1.6545,0.2030
0.0000,0.6576,0.8383,0.2380
0.6000,1.3165,1.8897,0.4532
0.0000,1.0566,0.7894,0.6390
0.8000,0.6999,1.7983,0.0594
0.0000,1.4163,0.7022,0.7444
0.6000,1.1212,1.6030,0.7980
0.2000,0.8256,0.7312,0.0654
0.0000,0.8370,1.7604,0.8766
0.6000,1.2040,0.7170,0.7081
0.0000,1.1413,1.9014,0.8266
0.0000,1.2088,0.4831,0.5995
0.4000,0.6753,1.6320,0.3578
0.0000,1.2497,0.7199,0.5276
0.8000,1.4321,1.8066,0.8513
0.0000,1.0419,0.6195,0.5802
0.8000,0.8198,1.7879,0.9782
0.2000,1.2562,0.7963,0.0348
0.8000,1.3162,1.8170,0.2518
0.4000,1.0721,0.7359,0.3343
0.6000,0.8389,1.7249,0.1087
0.2000,1.2978,0.6777,0.8108
0.6000,0.9597,1.6499,0.6373
0.4000,1.0784,0.8269,0.8760
0.4000,0.7072,1.6452,0.1812
0.4000,0.6757,0.8102,0.7824
0.0000,1.3466,1.7625,0.3785
0.6000,0.6252,0.7913,0.4266
0.2000,0.6248,1.7549,0.2171
0.4000,0.9352,0.7135,0.3425
0.8000,0.9487,1.7119,0.9378
0.2000,0.9216,0.9470,0.3090
0.4000,0.6207,1.5752,0.1733
0.4000,1.1321,0.8897,0.8259
0.2000,0.8307,1.6511,0.7086
0.8000,1.4220,0.7659,0.0411
0.4000,0.9426,1.6464,0.2534
0.2000,0.8154,0.7648,0.4591
0.8000,1.1614,1.8491,0.1755
0.6000,1.0630,0.7056,0.1341
0.2000,1.1211,1.8912,0.2233
0.0000,1.5012,0.7570,0.0945
0.6000,1.3982,1.7559,0.2335
